(2.203,102370,1482522153003,1482522152988,1482522153000)
(2.2,106924,1482522154000,1482522153994,1482522154000)
(2.202,114938,1482522155000,1482522154997,1482522155000)
(2.202,118698,1482522156000,1482522155997,1482522156000)
(2.2,221417,1482522157000,1482522156996,1482522157000)
(2.202,118793,1482522158006,1482522157992,1482522158000)
(2.201,130607,1482522158999,1482522158990,1482522159000)
(2.2,134394,1482522159999,1482522159977,1482522160000)
(2.202,110742,1482522161000,1482522160995,1482522161000)
(2.201,117024,1482522162000,1482522161998,1482522162000)
(2.203,126024,1482522162999,1482522162990,1482522163000)
(2.2,145211,1482522163999,1482522163980,1482522164000)
(2.202,163543,1482522165000,1482522164988,1482522165000)
(2.199,105672,1482522166000,1482522165997,1482522166000)
(2.202,159194,1482522166999,1482522166996,1482522167000)
(2.202,146904,1482522168005,1482522167994,1482522168000)
(2.2,145925,1482522168999,1482522168997,1482522169000)
(2.202,181870,1482522169999,1482522169989,1482522170000)
(2.201,132128,1482522171000,1482522170999,1482522171000)
(2.2,183084,1482522172006,1482522171994,1482522172000)
(2.202,137912,1482522173005,1482522172996,1482522173000)
(2.201,170734,1482522174000,1482522173995,1482522174000)
